timestamp,cps,cps_err,usv_hr
1776382767.9932022,0.0,0.0,0.0
1776382770.0080345,0.0,0.0,0.0
1776382772.0131772,0.1,0.1,0.0012534
1776382774.0618272,0.0,0.0,0.0
1776382776.0572708,0.0,0.0,0.0
1776382778.0661743,0.2,0.1414213562373095,0.0025068
1776382780.1236281,0.1,0.1,0.0012534
1776382782.1304047,0.1,0.1,0.0012534
1776382784.1235385,0.1,0.1,0.0012534
1776382786.1361377,0.0,0.0,0.0
1776382788.1735437,0.2,0.1414213562373095,0.0025068
1776382790.1765766,0.1,0.1,0.0012534
1776382792.169625,0.0,0.0,0.0
1776382794.2002463,0.0,0.0,0.0
1776382796.2207546,0.0,0.0,0.0
1776382798.2366793,0.0,0.0,0.0
1776382800.259497,0.0,0.0,0.0
1776382802.2780845,0.0,0.0,0.0
1776382804.2906842,0.0,0.0,0.0
1776382806.280108,0.0,0.0,0.0
1776382808.2941978,0.0,0.0,0.0
1776382810.3406928,0.0,0.0,0.0
1776382812.355576,0.0,0.0,0.0
1776382814.3759146,0.1,0.1,0.0012534
1776382816.3495147,0.1,0.1,0.0012534
1776382818.3726804,0.0,0.0,0.0
1776382820.4066672,0.0,0.0,0.0
1776382822.3962772,0.1,0.1,0.0012534
1776382824.4201863,0.0,0.0,0.0
1776382826.447188,0.0,0.0,0.0
1776382828.4764915,0.0,0.0,0.0
1776382830.476096,0.1,0.1,0.0012534
1776382832.5164855,0.0,0.0,0.0
1776382834.5010655,0.1,0.1,0.0012534
1776382836.5294068,0.1,0.1,0.0012534
1776382838.527199,0.2,0.1414213562373095,0.0025068
1776382840.559693,0.0,0.0,0.0
1776382842.5529838,0.0,0.0,0.0
1776382844.574816,0.0,0.0,0.0
1776382846.625718,0.0,0.0,0.0
1776382848.6073415,0.0,0.0,0.0
1776382850.6166902,0.0,0.0,0.0
1776382852.659549,0.1,0.1,0.0012534
1776382854.6447468,0.0,0.0,0.0
1776382856.670326,0.2,0.1414213562373095,0.0025068
1776382858.6886265,0.0,0.0,0.0
1776382860.7109659,0.0,0.0,0.0
1776382862.7299385,0.0,0.0,0.0
1776382864.7430775,0.2,0.1414213562373095,0.0025068
1776382866.7735484,0.0,0.0,0.0
1776382868.7873857,0.0,0.0,0.0
1776382870.762716,0.0,0.0,0.0
1776382872.778778,0.0,0.0,0.0
1776382874.8002536,0.0,0.0,0.0
1776382876.8269007,0.0,0.0,0.0
1776382878.8623142,0.1,0.1,0.0012534
1776382880.8608005,0.0,0.0,0.0
1776382882.8547752,0.1,0.1,0.0012534
1776382884.8840897,0.0,0.0,0.0
1776382886.8805602,0.0,0.0,0.0
1776382888.9087274,0.0,0.0,0.0
1776382890.9706342,0.1,0.1,0.0012534
1776382892.961877,0.0,0.0,0.0
1776382894.997572,0.0,0.0,0.0
1776382897.011419,0.0,0.0,0.0
1776382899.007432,0.0,0.0,0.0
1776382901.0334187,0.0,0.0,0.0
1776382903.0053596,0.0,0.0,0.0
1776382905.0471048,0.0,0.0,0.0
1776382907.0680323,0.1,0.1,0.0012534
1776382909.09092,0.0,0.0,0.0
1776382911.0709324,0.2,0.1414213562373095,0.0025068
1776382913.098133,0.2,0.1414213562373095,0.0025068
1776382915.1241884,0.1,0.1,0.0012534
1776382917.1484103,0.1,0.1,0.0012534
1776382919.128343,0.0,0.0,0.0
1776382921.1655984,0.2,0.1414213562373095,0.0025068
1776382923.1840131,0.1,0.1,0.0012534
1776382925.2155943,0.0,0.0,0.0
1776382927.1961746,0.0,0.0,0.0
1776382929.2180634,0.0,0.0,0.0
1776382931.2447143,0.0,0.0,0.0
1776382933.268194,0.1,0.1,0.0012534
1776382935.2832377,0.0,0.0,0.0
1776382937.2668989,0.0,0.0,0.0
1776382939.302159,0.1,0.1,0.0012534
1776382941.3350344,0.0,0.0,0.0
1776382943.3563418,0.0,0.0,0.0
1776382945.352451,0.0,0.0,0.0
1776382947.38391,0.1,0.1,0.0012534
1776382949.3627887,0.2,0.1414213562373095,0.0025068
