Timestamp,Temp,Gas,Humidity,Pressure,PM25_Env
1772235409.1122608,34.0446484375,41505,100,749.8310473150767,0
1772235411.1246698,23.682734375,11497,50.46821297248328,1007.0666513906359,0
1772235413.1367528,23.5786328125,19196,50.29096108857004,1007.0602416788306,1
1772235415.149278,23.5048046875,26723,50.19335444121004,1007.0590908851954,1
1772235417.1613908,23.451875,33107,50.155141516016585,1007.0498832457702,1
1772235419.1734543,23.4196484375,37748,50.18883834290948,1007.0577817097891,0
1772235421.1870837,23.402265625,41708,50.29373220299175,1007.0533099259429,0
1772235423.2009497,23.4032421875,45019,50.659735365361655,1007.0639831450135,0
1772235425.214853,23.4190625,47803,50.87658854242527,1007.0550152208375,0
1772235427.2288,23.4426953125,50712,50.84168942177155,1007.0550438168116,0
1772235429.242502,23.4786328125,53088,50.68200956958197,1007.053143314945,0
1772235431.2563365,23.5165234375,55048,50.434377022125204,1007.0507573723289,0
1772235433.270134,23.56359375,57273,50.1882264936923,1007.0413794129033,0
1772235435.2838993,23.625703125,58982,50.013508007145184,1007.0144632776853,0
1772235437.297716,23.7020703125,60752,49.903634764581646,1006.988741766805,0
1772235439.3115687,23.7844921875,62266,49.70657463669459,1006.9764155534243,0
1772235441.3253586,23.8778515625,64145,49.49223967487314,1006.9289533670728,0
1772235443.3388782,23.9844921875,65128,49.304873244827554,1006.8628540145224,0
1772235445.3527358,24.09328125,66452,49.11166458168016,1006.8001533821678,0
1772235447.3659315,24.1993359375,67831,48.95584341281847,1006.725678061175,0
1772235449.3795679,24.3087109375,69099,48.750491328999125,1006.6400993293091,0
1772235451.3933632,24.421015625,70299,48.470720423138665,1006.5518825886581,0
1772235453.4068365,24.529609375,71361,48.19085664472286,1006.4466574303161,0
1772235455.4206061,24.63625,72580,47.89866552557504,1006.3655249013566,0
1772235457.433269,24.738203125,73585,47.600087384107674,1006.2822187030299,0
1772235459.44535,24.8383984375,74423,47.34519205003863,1006.1868906325083,0
1772235461.4574199,24.934296875,75413,47.1148896814526,1006.1082569058208,0
1772235463.4710948,25.02296875,76293,46.90254308898696,1006.0489003188917,0
1772235465.4850614,25.1122265625,77124,46.62241050312201,1005.9995545684992,0
1772235467.4990408,25.2016796875,76568,46.3797595324705,1005.9705355323683,0
1772235469.512839,25.287421875,77688,46.544724481006334,1005.9427867650818,0
