Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771629129.1379132,6,0,0,0,0,0,28.220625,612.4468983442713,100
1771629130.1511385,6,0,0,0,0,0,15.792109374999999,1005.8102877075025,42.276323278992
1771629131.1640515,6,0,0,0,0,0,15.849921875,1005.8186890435203,42.3742401369833
1771629132.176988,6,0,0,0,0,0,15.91359375,1005.8319233260441,42.444208021652294
1771629133.18978,6,0,0,0,0,0,15.9739453125,1005.8395313853365,42.45078311254872
1771629134.2026258,6,0,0,0,0,0,16.0278515625,1005.8446616293884,42.36494602499289
1771629135.2156785,3,0,0,0,0,0,16.076875,1005.853329461795,42.238522442270614
1771629136.228539,3,0,0,0,0,0,16.1227734375,1005.8600795716935,42.10612018028266
1771629137.2414527,3,0,0,0,0,0,16.1626171875,1005.8650213228259,41.978872918783104
1771629138.2544084,3,0,0,0,0,0,16.1993359375,1005.8629909703163,41.834233923853944
1771629139.2690966,3,0,0,0,0,0,16.231953125,1005.8186168300449,41.683559611103874
1771629140.2820117,3,0,0,0,0,0,16.2628125,1005.7931847207514,41.527120106234044
1771629141.2950046,0,0,0,0,0,0,16.2907421875,1005.7762873888267,41.37050482801149
1771629142.3080242,0,0,0,0,0,0,16.32140625,1005.7640037863057,41.271255736115094
1771629143.321341,0,0,0,0,0,0,16.3497265625,1005.7747388294437,41.279978327673305
1771629144.3342507,3,0,0,0,0,0,16.3762890625,1005.7943076469361,41.33978237681034
1771629145.3472316,3,0,0,0,0,0,16.40265625,1005.8034257387783,41.393893072412915
1771629146.3600624,3,0,0,0,0,0,16.4262890625,1005.8197294959422,41.41922779949692
1771629147.372756,3,0,0,0,0,0,16.4489453125,1005.8310092279607,41.37036019148828
1771629148.3850498,3,0,0,0,0,0,16.470625,1005.8372646469747,41.34419127596179
1771629149.3978174,3,0,0,0,0,0,16.491328125,1005.8452426428831,41.2723473890484
1771629150.4106927,3,0,0,0,0,0,16.511640625,1005.8525595247982,41.177717345782455
1771629151.4237056,3,0,0,0,0,0,16.5317578125,1005.856171396365,41.07742726315452
1771629152.4366162,3,0,0,0,0,0,16.551875,1005.8496600364161,40.95445177113673
1771629153.4495573,3,0,0,0,0,0,16.572578125,1005.8475099849909,40.86003297910573
1771629154.4626245,3,0,0,0,0,0,16.5915234375,1005.8390153347651,40.77683579560356
1771629155.475641,3,0,0,0,0,0,16.6098828125,1005.8042227681659,40.733355202670815
1771629156.490036,3,0,0,0,0,0,16.627265625,1005.7880234287026,40.66707672162966
1771629157.5030336,3,0,0,0,0,0,16.644453125,1005.7731792824084,40.60647536615591
1771629158.5160668,3,0,0,0,0,0,16.6610546875,1005.7759031483647,40.540160652701
1771629159.5291607,3,0,0,0,0,0,16.6790234375,1005.8028688880528,40.4626766457849
1771629160.5402236,3,0,0,0,0,0,16.696015625,1005.8197491943677,40.38512338270962
1771629161.5513425,3,0,0,0,0,0,16.7126171875,1005.8325948249939,40.29623611568848
1771629162.562452,3,0,0,0,0,0,16.7305859375,1005.8426861456312,40.23018029764172
1771629163.573754,3,0,0,0,0,0,16.748359375,1005.8456970072965,40.22638740689492
1771629164.587587,3,0,0,0,0,0,16.7641796875,1005.8521589182142,40.250696987722456
1771629165.6010475,3,0,0,0,0,0,16.7794140625,1005.8559431992647,40.280613005959545
1771629166.6138954,3,0,0,0,0,0,16.7938671875,1005.8651578659706,40.287797872600585
1771629167.6267061,3,0,0,0,0,0,16.80734375,1005.8609099608796,40.27222649978839
1771629168.6390135,3,0,0,0,0,0,16.8216015625,1005.8647306567557,40.23975116212881
1771629169.6519527,3,0,0,0,0,0,16.83625,1005.8624593919362,40.156380672652396
1771629170.6649642,3,0,0,0,0,0,16.8520703125,1005.8655409722368,40.10145800956623
