timestamp,latitude,longitude,accuracy
1777069188.3736436,37.875401451832595,-122.25843075468937,22.512308193032375
1777069194.3882072,37.87536706942379,-122.25851972722238,18.84105341136065
1777069200.7908092,37.87534835970208,-122.25845786520111,16.259880593265493
1777069207.2192016,37.875338718299204,-122.25836092885854,15.783288957810848
1777069213.2388413,37.87531434077784,-122.25829422447367,18.097950870970244
1777069217.658037,37.87536786048708,-122.25818635738362,19.873464844053576
1777069223.6909697,37.87536738766967,-122.25807791448263,16.012155935147636
1777069227.8561037,37.87538329596565,-122.25789235830848,17.59729474040308
1777069233.8829572,37.87538970156576,-122.25784680346041,18.128691105607427
1777069238.0497375,37.87539625477716,-122.257756844656,17.02848945846449
1777069244.0746324,37.87538462374728,-122.25780388041308,20.083387690779034
1777069248.2434661,37.87535917644341,-122.25784811145344,23.284962983203098
1777069254.2641716,37.87540383826855,-122.25772599079119,17.962917779587187
1777069258.4278378,37.87538687912704,-122.25771669605608,18.41300592138324
1777069264.4540584,37.87543054009076,-122.25745372899515,23.974980412559155
1777069268.6207137,37.87542579487071,-122.2575745926309,19.528993733479215
1777069276.5443347,37.87542501955912,-122.25758385085223,26.292722116182723
1777069276.55084,37.87542501955912,-122.25758385085223,26.29276484286811
1777069282.3086936,37.87540366314463,-122.2577197538883,20.742109088961357
1777069282.724395,37.8754150778345,-122.25762868964227,19.005013779335478
1777069289.4090786,37.87539744150498,-122.25738439658554,21.320502820502263
1777069294.8409393,37.87540374814621,-122.25749298037294,23.75949308052768
1777069295.2502904,37.87541418717874,-122.25773331138123,20.855713071956178
1777069301.3962328,37.87539153576293,-122.25759855870798,19.311249699383332
1777069309.6035624,37.87537062053943,-122.25745192278332,20.595014
1777069309.6426623,37.8753635823145,-122.25744961047266,21.165482168661597
1777069310.013094,37.87537476771295,-122.25723895653765,16.179171072954976
1777069314.0660186,37.875385148961776,-122.2573392432913,13.895014000000002
1777069315.7739189,37.87539133791583,-122.25735099838965,14.594222150947708
1777069321.375678,37.87542012924932,-122.25727579028118,15.612413037784599
1777069321.7900698,37.87542014799982,-122.257275772656,15.661041733588045
1777069321.7972753,37.875429884037615,-122.25724742674778,15.661080447066746
1777069325.3388505,37.875429832599096,-122.25724783013882,17.267303624775323
1777069325.3445044,37.875429832599096,-122.25724783013882,17.26732890454953
1777069327.7657073,37.87545183653866,-122.25718106750493,16.15160162369433
1777069332.7795334,37.87544103314753,-122.25718799715129,16.114070173572518
1777069332.7870786,37.875441014428816,-122.2571879182225,16.11412181556204
1777069334.1444466,37.87544129554096,-122.2571891176051,16.195014
1777069334.1712394,37.87544012158175,-122.2571867315811,16.57733863162042
1777069334.1759942,37.87544010327805,-122.25718665440228,16.577447885453164
1777069340.1505086,37.87552750356979,-122.25721441208573,20.252715242589687
1777069340.5496085,37.87547950582704,-122.25735652307281,15.550651542205356
1777069341.7493448,37.8754814572195,-122.25738638492861,15.412342636231825
1777069347.7669778,37.8756182148273,-122.25743619612508,13.972616200476878
1777069348.172222,37.87566603824899,-122.25749930780711,20.226580440779973
1777069356.9361885,37.875649204332014,-122.25733550580263,16.165359163348413
1777069362.9565325,37.87579815039504,-122.25731365730354,12.328348510707842
1777069369.3729308,37.87577568614265,-122.25723015829169,14.479773805462502
1777069375.3944178,37.875750439079006,-122.2571562901302,14.709541958393352
1777069377.3378026,37.875759860317395,-122.25714308824423,14.399982393366214
1777069383.3702013,37.87576407618237,-122.25707039250162,13.83884948906433
1777069390.0973923,37.87579565744683,-122.25712821965249,21.634204922213236
1777069394.6970677,37.875875918756805,-122.25719568353902,21.78542963032426
1777069395.7154012,37.87587504892367,-122.25718204414737,20.23602749045899
1777069396.7368128,37.87579806193309,-122.25718241153,16.36969026598174
1777069397.7372165,37.87583924919226,-122.25717916393347,13.164439786667678
1777069398.7354996,37.87585853732891,-122.25719712693096,11.934779877199919
1777069399.732796,37.875898999869804,-122.25716523881181,9.447123515189816
1777069400.7352445,37.87589421315568,-122.25712597356141,8.638797547691155
1777069402.142998,37.87588501557827,-122.25708869201948,7.434327689903879
1777069403.1626108,37.875867297715494,-122.25705958916826,6.823536990551998
1777069404.1600666,37.87586541645168,-122.25704397492687,6.423346859926523
1777069405.1619008,37.87586033810974,-122.25701607230839,6.032959398434377
1777069406.1702363,37.875863273878956,-122.25700717636124,5.937130282574932
1777069407.1643143,37.875868494771275,-122.25699773493501,5.556973316770929
1777069408.1675842,37.875876676821676,-122.25699496979311,5.747254165490504
1777069409.1579416,37.87587498489861,-122.25699183721817,6.041419139166505
1777069410.1669128,37.875875112775596,-122.25699183054984,6.5110363652082235
1777069411.1710806,37.87587517181483,-122.25699180378625,6.590741343598828
1777069412.17243,37.87587517181614,-122.2569918037862,7.242107279752919
1777069412.9511042,37.875867379192144,-122.25698152205067,7.221774482127984
1777069413.169078,37.87586737919443,-122.25698152205192,7.221774351053261
1777069414.1734738,37.87586737919673,-122.25698152205317,7.2217819333157705
1777069415.1702967,37.87586803894736,-122.25698186594843,8.42641594992795
1777069416.1760871,37.87586586106673,-122.25698176817255,8.427599590336445
1777069417.1882741,37.87586575468006,-122.25698273706607,8.504599100189782
1777069418.173141,37.87586685107932,-122.25699698219265,8.523826583187736
1777069419.172757,37.87587339185565,-122.25699605048104,8.49759079647319
1777069420.3362746,37.87586148440894,-122.25699876276896,8.325715983168825
1777069423.0191662,37.8758576734001,-122.25699882740109,8.476384788809908
1777069429.629561,37.87582273151105,-122.25703369429219,25.961372888760504
1777069433.215068,37.875849347683705,-122.25708122240574,24.42137913650534
1777069443.363342,37.87580977095927,-122.25698076078959,14.604689143498996
1777069458.3765664,37.875767105322716,-122.25696950680215,12.949378066734521
1777069463.5884316,37.87576700226111,-122.25696967862389,12.950232142904621
1777069463.5905983,37.87576700226111,-122.25696967862386,12.950232143068042
1777069473.779996,37.875797334382455,-122.25699780723886,12.978919918999424
1777069480.240531,37.875915268643524,-122.25709756831318,18.615173972588707
1777069486.6496503,37.87589542497269,-122.25708438311239,15.790178832247179
1777069493.0873823,37.875913573995796,-122.25706761296752,15.222444592023159
