Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771628080.2984223,288,84,13,3,0,0,28.220625,612.4468983442713,100
1771628081.3092299,300,84,11,1,0,0,17.820234375,1005.8794943147728,35.40223087662284
1771628082.321936,300,84,11,1,0,0,17.8716015625,1005.8900604430672,35.40714498921515
1771628083.3332837,300,84,11,1,0,0,17.9758984375,1005.8952002927825,35.37314676755525
1771628084.3451235,288,76,12,1,0,0,18.043671875,1005.9063455156947,35.4511264419249
1771628085.356186,288,76,12,1,0,0,18.08546875,1005.9041120525918,35.57621051923839
1771628086.367306,288,76,12,1,0,0,18.117890625,1005.9012835426039,35.6729612830143
1771628087.3785865,258,70,9,1,0,0,18.1458203125,1005.9027141141564,35.75281153697249
1771628088.3896728,258,70,9,1,0,0,18.1692578125,1005.8999502431283,35.82676068178328
1771628089.4010313,258,70,9,1,0,0,18.1891796875,1005.8997128696044,35.85627109911956
1771628090.4138536,228,62,10,2,0,0,18.2051953125,1005.8945796873154,35.86885781849926
1771628091.4267645,228,62,10,2,0,0,18.21984375,1005.8972879646499,35.82063008413879
1771628092.439662,228,62,10,2,0,0,18.2333203125,1005.8980198832556,35.733709315957555
1771628093.452269,216,58,5,2,0,0,18.2450390625,1005.8957877787418,35.63013741187629
1771628094.4642994,216,58,5,2,0,0,18.2544140625,1005.8963695070877,35.51539678315925
1771628095.4771562,216,58,5,2,0,0,18.2657421875,1005.8968605055766,35.400927137138225
1771628096.4898307,198,54,6,2,0,0,18.2766796875,1005.9000753176449,35.36897539666218
1771628097.5027323,198,54,6,2,0,0,18.287421875,1005.8978861203813,35.35350739817228
1771628098.5156338,198,54,6,2,0,0,18.30109375,1005.8955603370742,35.39331925923871
1771628099.528497,198,52,6,2,0,0,18.314375,1005.8824260647593,35.48263512998704
1771628100.541504,198,52,6,2,0,0,18.33625,1005.8787010727217,35.57834395346659
1771628101.5545638,198,52,6,2,0,0,18.379609375,1005.8773523198643,35.709271400567836
1771628102.5674784,198,50,5,2,0,0,18.5329296875,1005.8751975155911,35.944872467316266
1771628103.5804248,198,50,5,2,0,0,18.599140625,1005.8767802535887,36.438178401604624
1771628104.5934026,198,50,5,2,0,0,18.624921875,1005.8677615776492,36.929150079377926
1771628105.6062863,192,48,5,2,0,0,18.631171875,1005.8664464911751,37.24140294545058
1771628106.619206,192,48,5,2,0,0,18.63078125,1005.8674806306693,37.30265042012322
1771628107.6322103,192,48,5,2,0,0,18.6255078125,1005.8602872589211,37.207416072498354
1771628108.6453571,228,56,6,2,0,0,18.624140625,1005.8613682027027,36.979112542504915
1771628109.657351,228,56,6,2,0,0,18.6223828125,1005.8584062966249,36.67338937269773
1771628110.670311,228,56,6,2,0,0,18.6204296875,1005.8568076044378,36.36825429841097
1771628111.683536,291,64,10,1,0,0,18.6114453125,1005.8568995939502,36.063039576650155
1771628112.6964676,291,64,10,1,0,0,18.6016796875,1005.8556747926802,35.76388293676654
1771628113.709337,291,64,10,1,0,0,18.592109375,1005.8615476670678,35.4323092235949
1771628114.7215962,297,66,9,1,0,0,18.5794140625,1005.8655384924148,35.1286364443694
1771628115.7344828,297,66,9,1,0,0,18.557734375,1005.864541657298,34.81376870909865
1771628116.7474043,297,66,9,1,0,0,18.5337109375,1005.8748219814873,34.521243344417464
1771628117.7603238,303,68,12,1,0,0,18.506171875,1005.8808663083682,34.23444290472114
1771628118.773281,303,68,12,1,0,0,18.4719921875,1005.8774071993358,33.94760230346174
1771628119.786175,303,68,12,1,0,0,18.43859375,1005.8769517884,33.68861523199025
1771628120.7998908,315,70,11,0,0,0,18.4012890625,1005.8783664844902,33.440611588967464
1771628121.8173442,315,70,11,0,0,0,18.36046875,1005.8839990418945,33.22526312761462
1771628122.8293483,315,70,11,0,0,0,18.3200390625,1005.8767496578877,33.02112269828531
1771628123.8422155,303,66,12,0,0,0,18.278828125,1005.8698684179564,32.860479154758835
