timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776382913.041954,0.0,0.0,0.0,0.0,0.0,0.0
1776382917.040546,0.0,0.0,0.0,0.0,0.0,0.0
1776382921.0571434,0.0,0.0,0.0,0.0,0.0,0.0
1776382925.0566351,0.0,0.0,0.0,0.0,0.0,0.0
1776382929.1102967,0.0,0.0,0.0,0.0,0.0,0.0
1776382933.1090672,0.0,0.0,0.0,0.0,0.0,0.0
1776382937.1047685,0.0,0.0,0.0,0.0,0.0,0.0
1776382941.119196,0.0,0.0,0.0,0.0,0.0,0.0
1776382945.141045,0.0,0.0,0.0,0.0,0.0,0.0
1776382949.152497,0.0,0.0,0.0,0.0,0.0,0.0
1776382953.1705515,0.0,0.0,0.0,0.0,0.0,0.0
1776382957.194197,0.0,0.0,0.0,0.0,0.0,0.0
1776382961.2018356,0.0,0.0,0.0,0.0,0.0,0.0
1776382965.1702871,0.0,0.0,0.0,0.0,0.0,0.0
1776382969.2105443,0.0,0.0,0.0,0.0,0.0,0.0
1776382973.2269588,0.0,0.0,0.0,0.0,0.0,0.0
1776382977.226491,0.0,0.0,0.0,0.0,0.0,0.0
1776382981.2302406,0.0,0.0,0.0,0.0,0.0,0.0
1776382985.2265952,0.0,0.0,0.0,0.0,0.0,0.0
1776382989.282173,0.0,0.0,0.0,0.0,0.0,0.0
1776382993.292331,0.0,0.0,0.0,0.0,0.0,0.0
1776382997.2656748,0.0,0.0,0.0,0.0,0.0,0.0
1776383001.2811456,0.0,0.0,0.0,0.0,0.0,0.0
1776383005.289073,0.0,0.0,0.0,0.0,0.0,0.0
1776383009.3348699,0.0,0.0,0.0,0.0,0.0,0.0
1776383013.321152,0.0,0.0,0.0,0.0,0.0,0.0
1776383017.3500938,0.0,0.0,0.0,0.0,0.0,0.0
1776383021.3266563,0.0,0.0,0.0,0.0,0.0,0.0
1776383025.3736906,0.0,0.0,0.0,0.0,0.0,0.0
1776383029.3520033,0.0,0.0,0.0,0.0,0.0,0.0
1776383033.3608341,0.0,0.0,0.0,0.0,0.0,0.0
1776383037.3856578,0.0,0.0,0.0,0.0,0.0,0.0
1776383041.3847396,0.0,0.0,0.0,0.0,0.0,0.0
1776383045.40781,0.0,0.0,0.0,0.0,0.0,0.0
1776383049.4329998,0.0,0.0,0.0,0.0,0.0,0.0
1776383053.4157732,0.0,0.0,0.0,0.0,0.0,0.0
1776383057.4320168,0.0,0.0,0.0,0.0,0.0,0.0
1776383061.4246836,0.0,0.0,0.0,0.0,0.0,0.0
1776383065.4603953,0.0,0.0,0.0,0.0,0.0,0.0
1776383069.465064,0.0,0.0,0.0,0.0,0.0,0.0
1776383073.4884977,0.0,0.0,0.0,0.0,0.0,0.0
1776383077.5008657,0.0,0.0,0.0,0.0,0.0,0.0
1776383081.5177248,0.0,0.0,0.0,0.0,0.0,0.0
1776383085.4975123,0.0,0.0,0.0,0.0,0.0,0.0
1776383089.501033,0.0,0.0,0.0,0.0,0.0,0.0
1776383093.516452,0.0,0.0,0.0,0.0,0.0,0.0
1776383097.5183618,0.0,0.0,0.0,0.0,0.0,0.0
1776383101.5256763,0.0,0.0,0.0,0.0,0.0,0.0
1776383105.593655,0.0,0.0,0.0,0.0,0.0,0.0
1776383109.562507,0.0,0.0,0.0,0.0,0.0,0.0
1776383113.5599947,0.0,0.0,0.0,0.0,0.0,0.0
1776383117.6211674,0.0,0.0,0.0,0.0,0.0,0.0
1776383121.5835028,0.0,0.0,0.0,0.0,0.0,0.0
1776383125.6353362,0.0,0.0,0.0,0.0,0.0,0.0
1776383129.6189973,0.0,0.0,0.0,0.0,0.0,0.0
1776383133.6579363,0.0,0.0,0.0,0.0,0.0,0.0
1776383137.6486025,0.0,0.0,0.0,0.0,0.0,0.0
1776383141.636166,0.0,0.0,0.0,0.0,0.0,0.0
1776383145.641493,0.0,0.0,0.0,0.0,0.0,0.0
1776383149.6853304,0.0,0.0,0.0,0.0,0.0,0.0
1776383153.695728,0.0,0.0,0.0,0.0,0.0,0.0
1776383157.6949482,0.0,0.0,0.0,0.0,0.0,0.0
1776383161.7162533,0.0,0.0,0.0,0.0,0.0,0.0
1776383165.711517,0.0,0.0,0.0,0.0,0.0,0.0
1776383169.7233033,0.0,0.0,0.0,0.0,0.0,0.0
1776383173.7621162,0.0,0.0,0.0,0.0,0.0,0.0
1776383177.7620306,0.0,0.0,0.0,0.0,0.0,0.0
1776383181.7577157,0.0,0.0,0.0,0.0,0.0,0.0
1776383185.7712789,0.0,0.0,0.0,0.0,0.0,0.0
1776383189.7877176,0.0,0.0,0.0,0.0,0.0,0.0
1776383193.7723856,0.0,0.0,0.0,0.0,0.0,0.0
1776383197.7832203,0.0,0.0,0.0,0.0,0.0,0.0
1776383201.8315618,0.0,0.0,0.0,0.0,0.0,0.0
1776383205.8251488,0.0,0.0,0.0,0.0,0.0,0.0
1776383209.86314,0.0,0.0,0.0,0.0,0.0,0.0
1776383213.846675,0.0,0.0,0.0,0.0,0.0,0.0
1776383217.8606498,0.0,0.0,0.0,0.0,0.0,0.0
1776383221.8901253,0.0,0.0,0.0,0.0,0.0,0.0
1776383225.8968284,0.0,0.0,0.0,0.0,0.0,0.0
1776383229.872664,0.0,0.0,0.0,0.0,0.0,0.0
1776383233.8851266,0.0,0.0,0.0,0.0,0.0,0.0
1776383237.9365063,0.0,0.0,0.0,0.0,0.0,0.0
1776383241.9285073,0.0,0.0,0.0,0.0,0.0,0.0
1776383245.9457235,0.0,0.0,0.0,0.0,0.0,0.0
1776383249.940871,0.0,0.0,0.0,0.0,0.0,0.0
1776383253.9310372,0.0,0.0,0.0,0.0,0.0,0.0
1776383257.987587,0.0,0.0,0.0,0.0,0.0,0.0
1776383261.981331,0.0,0.0,0.0,0.0,0.0,0.0
1776383265.9738145,0.0,0.0,0.0,0.0,0.0,0.0
1776383270.0084999,0.0,0.0,0.0,0.0,0.0,0.0
