timestamp,temp_mean,temp_err,hum_mean,hum_err,press_mean,press_err,alt_mean,alt_err,voc_mean,voc_err
1777068933.3100586,30.505878906249997,4.396972656249998,71.88686539243787,28.113134607562134,867.3618967170673,134.71967862722028,1373.0886591675287,1279.6861715239777,77793.0,49680.0
1777068935.338726,26.13068359375,0.01044921875000071,43.625030557513384,0.05925751113022315,1002.0926491883549,0.005205859651880473,93.30945969196964,0.04373267032416095,46038.0,5811.0
1777068937.3445375,26.17814453125,0.012402343749998934,43.35559696473237,0.06196393180393045,1002.108707834265,0.004299218231210489,93.17455727230865,0.03611581305494127,67835.0,4973.0
1777068939.3550436,26.22521484375,0.01103515624999929,43.116657286055045,0.059026960356018066,1002.1240848829675,0.0023371013478481473,93.04538230923373,0.019632701138448283,85631.5,4105.5
1777068941.3885405,26.26583984375,0.009082031250001066,42.90137184080394,0.05014859741933009,1002.1129417763201,0.0031437523504109777,93.13898984691767,0.026409169678395017,98235.0,3280.0
1777068943.417294,26.299140625,0.007421874999998579,42.70354769697862,0.04727651884212136,1002.1028370032583,0.00173365006730819,93.22387556711882,0.014563689344704756,109647.0,2618.0
1777068945.4449134,26.32873046875,0.0065429687500007105,42.49950467171074,0.03831028250118251,1002.1008629975706,0.00016987840615456662,93.2404583894251,0.0014270816958443788,119428.0,2213.0
1777068947.4692533,26.35392578125,0.005761718749999645,42.358224295108684,0.038369455642740746,1002.1015668513393,0.0005319073313785339,93.2345455932042,0.0044683418115738505,126496.5,2053.5
1777068949.489288,26.37521484375,0.004980468750000355,42.33362802483795,0.024578962575734664,1002.0989504677825,0.0008941938536395355,93.25652481522854,0.0075117825907184965,131692.0,1139.0
1777068951.5174963,26.3950390625,0.0046874999999992895,42.41094089321962,0.01554917593882621,1002.0972261591485,0.0030328318032957213,93.27101011507604,0.025477702389466117,136855.5,1118.5
1777068953.5794473,26.41134765625,0.003613281249998934,42.475876107864565,0.006420708248175089,1002.0937122207363,0.002320329501060314,93.30052944575974,0.019492288447985118,141898.0,1142.0
1777068955.6021385,26.424921875,0.0031250000000007105,42.46841209405257,0.014664598449229516,1002.0880462237079,0.0014522122202151877,93.34812763187766,0.012199590216113165,146357.0,831.0
1777068957.630169,26.436152343750003,0.0020507812500003553,42.41863013839378,0.029799915604936444,1002.0834684978271,0.0015946664706234515,93.3865837779633,0.013396354305477585,150102.0,1345.0
1777068959.64352,26.443476562500003,0.0005859375000003553,42.28136631049142,0.03594455220189019,1002.0781396753953,0.0015554064909224508,93.43134984514126,0.013066598280339292,153461.0,633.0
1777068961.6714618,26.44796875,0.0013671874999996447,42.08393585842575,0.053798365809498705,1002.074768504196,0.002358273676122735,93.45967029811445,0.01981134763024528,157358.5,1108.5
1777068963.6975007,26.4544140625,0.0009765625,41.8749752289923,0.0477885175819317,1002.0713445991628,0.0008816813039516092,93.48843380809231,0.0074068346315883105,159754.0,533.0
1777068965.7192967,26.46037109375,0.0018554687499996447,41.672198213232335,0.041652044936387966,1002.0679336140081,0.002345062925144248,93.51708889220248,0.019700475767265857,162391.5,1023.5
1777068967.7310398,26.46984375,0.0029296875,41.50888796473374,0.03850454250395785,1002.0782850142151,0.008474955925407812,93.43012912407883,0.07119607135762607,164298.0,564.0
1777068969.753826,26.479999999999997,0.0025390625000003553,41.39057783083655,0.02061148232463239,1002.0846828622056,0.005030032454442335,93.37638231915295,0.042255877361242256,165439.0,1062.0
1777068971.7796538,26.4784375,0.003124999999998934,41.29192627176073,0.01824818956698593,1002.083698603559,0.0011131437849485337,93.38465071876738,0.009351212957390942,168681.0,170.0
1777068973.8480074,26.47150390625,0.0012695312499992895,41.19869937694524,0.02101215193316719,1002.0768715358996,0.0030451811495595393,93.44200321075752,0.025581865431625772,170833.5,609.5
1777068975.832037,26.4675,0.0011718749999989342,41.07904090499812,0.044820543570541105,1002.0810855131147,0.00031054926154183704,93.40660258791164,0.0026088439335936187,174298.5,362.5
1777068977.8931994,26.46642578125,0.00146484375,40.837780231561425,0.07123760517821509,1002.0698232165813,0.006882713965978837,93.50121481581164,0.057820424012149374,177068.0,1123.0
1777068979.9061198,26.479121093750003,0.004003906250000355,40.583525098137486,0.0649088595581837,1002.036119028669,0.008491542474928337,93.78436148743006,0.07133784154125067,179731.0,1350.0
1777068981.90827,26.4926953125,0.0029296875,40.32678695618165,0.061961581974276925,1001.9825430237727,0.015477538736774932,94.2344662970205,0.13003314910323382,180794.5,1073.5
1777068983.9789698,26.50568359375,0.00244140625,40.08814620616201,0.058964806271582404,1001.9373634927314,0.012043052132639787,94.6140446703694,0.10118231304401348,183568.5,1106.5
1777068985.9714508,26.521796875,0.00390625,39.87680120144089,0.05281586426946916,1001.8941486030863,0.005240243025184554,94.97712987433873,0.044028575330600006,185390.5,307.5
1777068988.0052629,26.533125,0.0025390625000003553,39.682927442112124,0.041085443639197194,1001.8734762997597,0.00845375367498491,95.15082037798956,0.07102971125127056,184963.0,0.0
1777068990.0668807,26.54474609375,0.00341796875,39.521776447706515,0.043902544930727316,1001.830209494588,0.015493593835060437,95.51436151826134,0.13018406050943554,185957.5,682.5
1777068992.0916402,26.5602734375,0.00390625,39.36709564251237,0.040861229881148375,1001.7637330798815,0.013797104786021919,96.0729407327744,0.11593563461011058,187012.0,478.0
1777068994.1162865,26.5755078125,0.0029296875,39.22430626702249,0.02620097459119819,1001.6993140984819,0.015481716732892892,96.61426098506507,0.1300980273693071,188294.5,376.5
1777068996.136436,26.58478515625,0.0022460937499992895,39.09277960236778,0.035084731590394824,1001.6494323332231,0.003827648976994169,97.0334417759436,0.03216630748113403,189382.5,1034.5
1777068998.1683426,26.595722656249997,0.0028320312499996447,38.97918053377039,0.03205674322052232,1001.6400550627163,0.00538439553582748,97.11224563124898,0.0452490383328481,190032.5,164.5
1777069000.1941366,26.60958984375,0.003613281249998934,38.88066828804752,0.026075133992438992,1001.6160492996686,0.0040380053389981185,97.31398563954832,0.03393498916603477,191079.5,221.5
1777069002.2147791,26.62130859375,0.0018554687499996447,38.77317161821813,0.02918335272580208,1001.6071611198479,0.005357335421422249,97.38868131580682,0.04502282946589986,191579.5,55.5
1777069004.2384968,26.628046875,0.0017578124999992895,38.6828305472138,0.014495756102139268,1001.5896866218445,0.0038146421662190733,97.5355372770757,0.0320585508305129,191972.5,559.5
1777069006.2723417,26.6380078125,0.003320312500001421,38.61929739903202,0.02019558354098905,1001.581189105216,0.002301028206659339,97.6069512846376,0.019338153686696558,193153.5,396.5
1777069008.282953,26.650898437499997,0.0023437499999996447,38.55022748415372,0.008554504292963117,1001.5948534362237,0.0023288366576252884,97.49211502499378,0.01957164349050089,193380.0,284.0
1777069010.3080442,26.6626171875,0.0021484375000007105,38.704117114995626,0.02666043853573896,1001.6047862490326,0.0037034042746881823,97.40863960201423,0.031123318983169668,196158.0,1694.0
1777069012.3311436,26.68830078125,0.00908203124999929,38.57770049071573,0.11936405508995307,1001.6096977500647,0.0014585692411515083,97.36736350999963,0.012257731573683373,199773.5,484.5
